transaction_id,user_id,amount,currency,location,merchant,timestamp
txn_000001,u_002,2419.98,USD,IN,fintech,2026-02-20T21:03:21
txn_000002,u_003,3147.09,USD,RU,gaming,2026-02-20T21:03:21
txn_000003,u_001,332.77,USD,US,gaming,2026-02-20T21:03:21
txn_000004,u_003,438.34,USD,US,electronics,2026-02-20T21:03:21
txn_000005,u_002,229.5,USD,US,fintech,2026-02-20T21:03:21
txn_000001,u_001,617.17,USD,AE,gaming,2026-02-20T21:51:07
txn_000002,u_003,430.62,USD,SG,fintech,2026-02-20T21:51:09
txn_000003,u_001,334.22,USD,DE,gaming,2026-02-20T21:51:11
txn_000004,u_001,2689.55,USD,US,travel,2026-02-20T21:51:13
txn_000005,u_001,931.46,USD,SG,grocery,2026-02-20T21:51:15
txn_000006,u_003,639.55,USD,US,fintech,2026-02-20T21:51:17
txn_000007,u_002,472.01,USD,IN,electronics,2026-02-20T21:51:19
txn_000008,u_004,152.4,USD,IN,grocery,2026-02-20T21:51:21
txn_000009,u_001,832.53,USD,US,fintech,2026-02-20T21:51:23
txn_000010,u_001,4347.84,USD,IN,electronics,2026-02-20T21:51:25
txn_000011,u_001,335.01,USD,AE,gaming,2026-02-20T21:51:27
txn_000012,u_001,215.43,USD,AE,travel,2026-02-20T21:51:29
txn_000013,u_001,277.74,USD,US,grocery,2026-02-20T21:51:31
txn_000014,u_003,51.68,USD,IN,electronics,2026-02-20T21:51:33
txn_000015,u_003,982.07,USD,SG,electronics,2026-02-20T21:51:35
txn_000016,u_001,467.95,USD,IN,fintech,2026-02-20T21:51:37
txn_000017,u_004,99.42,USD,DE,travel,2026-02-20T21:51:39
txn_000018,u_003,973.61,USD,DE,fintech,2026-02-20T21:51:41
txn_000019,u_003,1574.84,USD,DE,gaming,2026-02-20T21:51:43
txn_000020,u_003,174.45,USD,IN,travel,2026-02-20T21:51:45
txn_000021,u_002,260.03,USD,IN,travel,2026-02-20T21:51:47
txn_000022,u_002,360.22,USD,IN,grocery,2026-02-20T21:51:49
txn_000023,u_001,891.12,USD,SG,travel,2026-02-20T21:51:51
txn_000024,u_004,599.53,USD,DE,fintech,2026-02-20T21:51:53
txn_000025,u_003,975.36,USD,IN,travel,2026-02-20T21:51:55
txn_000026,u_003,14.62,USD,AE,grocery,2026-02-20T21:51:57
txn_000027,u_001,593.19,USD,IN,travel,2026-02-20T21:51:59
txn_000028,u_003,964.0,USD,SG,gaming,2026-02-20T21:52:01
txn_000029,u_003,2047.45,USD,RU,travel,2026-02-20T21:52:03
txn_000030,u_001,705.56,USD,DE,fintech,2026-02-20T21:52:05
txn_000031,u_002,153.58,USD,US,travel,2026-02-20T21:52:07
txn_000010,u_003,4934.3,USD,RU,grocery,2026-02-20T21:52:36
txn_000009,u_001,1781.28,USD,AE,grocery,2026-02-20T21:52:38
txn_000008,u_004,746.42,USD,DE,electronics,2026-02-20T21:52:40
txn_000007,u_001,407.74,USD,IN,travel,2026-02-20T21:52:42
txn_000006,u_001,723.56,USD,US,grocery,2026-02-20T21:52:44
txn_000005,u_004,880.39,USD,DE,fintech,2026-02-20T21:52:46
txn_000004,u_004,234.49,USD,DE,grocery,2026-02-20T21:52:48
txn_000003,u_003,680.56,USD,US,electronics,2026-02-20T21:52:50
txn_000002,u_003,446.58,USD,DE,grocery,2026-02-20T21:52:52
txn_000001,u_003,979.19,USD,DE,travel,2026-02-20T21:52:54
txn_000000,u_002,878.35,USD,DE,grocery,2026-02-20T21:52:56
txn_-00001,u_001,482.59,USD,IN,electronics,2026-02-20T21:52:58
txn_-00002,u_003,925.14,USD,US,grocery,2026-02-20T21:53:00
txn_-00003,u_002,422.6,USD,DE,travel,2026-02-20T21:53:02
txn_-00004,u_004,815.7,USD,SG,gaming,2026-02-20T21:53:04
txn_-00005,u_001,3324.86,USD,RU,grocery,2026-02-20T21:53:06
txn_-00006,u_003,603.49,USD,AE,travel,2026-02-20T21:53:08
txn_-00007,u_003,2473.07,USD,RU,electronics,2026-02-20T21:53:10
txn_-00008,u_002,524.49,USD,US,fintech,2026-02-20T21:53:12
txn_-00009,u_002,1850.24,USD,RU,electronics,2026-02-20T21:53:14
txn_-00010,u_002,908.41,USD,IN,fintech,2026-02-20T21:53:16
txn_-00011,u_004,595.02,USD,SG,electronics,2026-02-20T21:53:18
txn_000010,u_003,511.53,USD,US,gaming,2026-02-20T21:53:52
txn_000009,u_002,478.76,USD,SG,fintech,2026-02-20T21:53:54
txn_000008,u_001,441.91,USD,SG,grocery,2026-02-20T21:53:56
txn_000007,u_003,3658.37,USD,RU,travel,2026-02-20T21:53:58
txn_000006,u_003,1577.85,USD,RU,grocery,2026-02-20T21:54:00
txn_000005,u_002,550.6,USD,AE,grocery,2026-02-20T21:54:02
txn_000004,u_003,371.61,USD,IN,gaming,2026-02-20T21:54:04
txn_000003,u_004,581.52,USD,DE,travel,2026-02-20T21:54:06
txn_000002,u_001,579.69,USD,DE,fintech,2026-02-20T21:54:08
txn_000001,u_002,4848.96,USD,RU,fintech,2026-02-20T21:54:10
txn_000000,u_003,997.14,USD,AE,gaming,2026-02-20T21:54:12
txn_000010,u_002,582.37,USD,DE,travel,2026-02-20T21:54:30
txn_000009,u_001,127.42,USD,AE,electronics,2026-02-20T21:54:32
txn_000008,u_002,3243.93,USD,RU,fintech,2026-02-20T21:54:34
txn_000007,u_002,661.24,USD,US,gaming,2026-02-20T21:54:36
txn_000006,u_001,252.28,USD,US,grocery,2026-02-20T21:54:38
txn_000005,u_004,184.67,USD,DE,travel,2026-02-20T21:54:40
txn_000004,u_003,254.47,USD,DE,fintech,2026-02-20T21:54:42
txn_000003,u_003,56.29,USD,SG,travel,2026-02-20T21:54:44
txn_000002,u_004,448.33,USD,DE,fintech,2026-02-20T21:54:46
txn_000001,u_003,94.81,USD,US,electronics,2026-02-20T21:54:48
txn_000000,u_002,4004.34,USD,US,gaming,2026-02-20T21:54:50
txn_000010,u_003,860.07,USD,AE,grocery,2026-02-25T19:10:00
txn_000009,u_001,505.03,USD,US,fintech,2026-02-25T19:10:02
txn_000008,u_003,460.76,USD,IN,travel,2026-02-25T19:10:04
txn_000007,u_003,884.1,USD,IN,travel,2026-02-25T19:10:06
txn_000006,u_001,1843.06,USD,DE,travel,2026-02-25T19:10:08
txn_000005,u_002,946.12,USD,US,grocery,2026-02-25T19:10:10
txn_000004,u_003,4820.98,USD,US,electronics,2026-02-25T19:10:12
txn_000003,u_003,621.55,USD,DE,electronics,2026-02-25T19:10:14
txn_000002,u_001,411.96,USD,AE,gaming,2026-02-25T19:10:16
txn_000001,u_001,310.14,USD,SG,fintech,2026-02-25T19:10:18
txn_000000,u_003,3185.58,USD,RU,grocery,2026-02-25T19:10:20
txn_000010,u_001,4533.75,USD,RU,grocery,2026-02-25T19:39:03
txn_000009,u_003,2807.63,USD,US,fintech,2026-02-25T19:39:05
txn_000008,u_004,3882.4,USD,AE,grocery,2026-02-25T19:39:07
txn_000007,u_002,649.69,USD,SG,electronics,2026-02-25T19:39:09
txn_000006,u_004,700.82,USD,IN,fintech,2026-02-25T19:39:11
txn_000005,u_003,279.24,USD,DE,fintech,2026-02-25T19:39:13
txn_000004,u_003,935.56,USD,SG,gaming,2026-02-25T19:39:15
txn_000003,u_001,815.27,USD,SG,travel,2026-02-25T19:39:17
txn_000002,u_002,371.1,USD,IN,travel,2026-02-25T19:39:19
txn_000001,u_004,309.07,USD,US,electronics,2026-02-25T19:39:21
txn_000000,u_002,841.29,USD,AE,grocery,2026-02-25T19:39:23
txn_000010,u_003,164.34,USD,AE,gaming,2026-02-25T19:39:25
txn_000009,u_004,105.52,USD,AE,grocery,2026-02-25T19:39:27
txn_000008,u_003,667.36,USD,US,gaming,2026-02-25T19:39:29
txn_000007,u_003,580.26,USD,AE,travel,2026-02-25T19:39:31
txn_000006,u_002,676.18,USD,AE,electronics,2026-02-25T19:39:33
txn_000005,u_002,164.86,USD,DE,gaming,2026-02-25T19:39:35
txn_000004,u_003,161.63,USD,US,gaming,2026-02-25T19:39:37
txn_000003,u_002,998.75,USD,IN,grocery,2026-02-25T19:39:39
txn_000002,u_002,32.41,USD,SG,electronics,2026-02-25T19:39:41
txn_000001,u_002,431.61,USD,AE,grocery,2026-02-25T19:39:43
txn_000000,u_004,377.75,USD,US,electronics,2026-02-25T19:39:45
